r (A),HRMC,RMC,LJG,F[F(Q)]
2.01,0,0,0,-0.03636961
2.03,0,0,0,-0.036027058
2.05,0,0,0,-0.016617727
2.07,0,0,0,0.02799339
2.09,0,0,0,0.103356975
2.11,0,0,0,0.213577114
2.13,0,0,0,0.360456253
2.15,0,0,0,0.542837317
2.17,0,0,0,0.756313834
2.19,0,0,0,0.993402114
2.21,0,0,0,1.244180415
2.23,0,0,0,1.497290401
2.25,0,0,0,1.741123536
2.27,0,0,0,1.964976078
2.29,0,0,0,2.159970547
2.31,0,0,0,2.319608769
2.33,0,0,0,2.439899945
2.35,0,0,0,2.519120751
2.37,0,0,0,2.557335657
2.39,0,0,0,2.555843553
2.41,0,0,0,2.516726008
2.43,0,0,0,2.442604131
2.45,0,0,0,2.336651361
2.47,0,0,0,2.202807645
2.49,0,0,0,2.046081283
2.51,0,0,0,1.872777962
2.53,0,0,0,1.690520687
2.55,0,0,0,1.507954281
2.57,0,0,0,1.334133298
2.59,0,0,0,1.177656944
2.61,0,0,0,1.045706628
2.63,0,0,0,0.943172028
2.65,0,0,0,0.872051275
2.67,0,0,0,0.831259768
2.69,0,0,0,0.81690186
2.71,0,0,0,0.82296288
2.73,0,0,0,0.842292434
2.75,0,0,0,0.867692549
2.77,0,0,0,0.892907543
2.79,0,0,0,0.913342085
2.81,0,0,0,0.926399085
2.83,0,0,0,0.931414858
2.85,0,0,0,0.929254654
2.87,0,0,0,0.921698767
2.89,0,0,0,0.910779502
2.91,0,0,0,0.898224169
2.93,0,0,0,0.885115646
2.95,0,0,0,0.871817566
2.97,0,0,0,0.85814062
2.99,0,0.67522428,0,0.843668073
3.01,0,0.982045935,0,0.828125245
3.03,0,0.919741465,0,0.81167706
3.05,0,0.78050224,0,0.795066162
3.07,0,0.7201554,0,0.77955455
3.09,0,0.67162863,0,0.766687614
3.11,0,0.661005465,0,0.757948525
3.13,0,0.66469729,0,0.754399418
3.15,0,0.704041695,0,0.756406589
3.17,0,0.677538785,0.00328961,0.763524451
3.19,0.00324849,0.711763035,0.00324849,0.774569366
3.21,0,0.758495095,0.00962441,0.787865465
3.23,0.00950559,0.76996989,0.01584267,0.801601543
3.25,0.00938896,0.80353097,0.03129652,0.814211115
3.27,0.00927446,0.880521755,0.04328079,0.824684723
3.29,0.01221606,0.80605338,0.03359425,0.832743006
3.31,0.03318942,0.843216525,0.1237061,0.838834786
3.33,0.05962173,0.84739023,0.09837577,0.843969697
3.35,0.09131353,0.872514345,0.19440961,0.849432962
3.37,0.10187586,0.883079445,0.232859,0.85645729
3.39,0.15533075,0.96549042,0.31066167,0.865931985
3.41,0.25869957,0.93894988,0.34967092,0.878216963
3.43,0.32031679,0.944845995,0.455187,0.893097908
3.45,0.34160957,1.000310065,0.59156783,0.909883526
3.47,0.45298948,1.01508334,0.57653192,0.927609296
3.49,0.52923297,1.160770815,0.67036175,0.945289027
3.51,0.59566474,1.09632759,0.70299167,0.962147223
3.53,0.73218838,1.137856515,0.90462375,0.977774158
3.55,0.91019814,1.226962695,1.02561192,0.992170147
3.57,0.91818463,1.242733255,1.08159067,1.005674721
3.59,1.07983251,1.25807859,1.17729917,1.018807201
3.61,1.339315,1.263916945,1.316485,1.032065932
3.63,1.52027656,1.35198976,1.45504917,1.045741754
3.65,1.53839974,1.43658478,1.47636667,1.059794535
3.67,1.7131151,1.47673815,1.63457583,1.073823707
3.69,1.87425133,1.52609641,1.70916167,1.087137597
3.71,1.92614874,1.600142545,1.75562833,1.09890231
3.73,1.94356435,1.659743605,1.89604333,1.108331608
3.75,1.90878401,1.67865685,1.77949417,1.114870968
3.77,1.89323711,1.665110025,1.95603583,1.118333442
3.79,2.022897,1.631124925,1.83878833,1.11895807
3.81,2.04042852,1.637226025,1.9903275,1.117381525
3.83,1.96959631,1.69698439,1.98762417,1.114534136
3.85,2.04062396,1.668781525,1.97817833,1.111486252
3.87,2.01737959,1.567193995,2.03503667,1.10927973
3.89,2.00542694,1.570746835,1.95518333,1.108777544
3.91,1.91360868,1.611625415,2.07794167,1.110556077
3.93,1.90916358,1.6298468,1.88562,1.114851573
3.95,1.88352316,1.58809684,1.87081083,1.121559337
3.97,1.74504133,1.57844483,1.9191275,1.130273735
3.99,1.59262301,1.585041885,1.9061625,1.140352269
4.01,1.86663982,1.808945735,1.95092667,1.150988834
4.03,1.79523756,1.66575285,1.890905,1.161285408
4.05,1.70902827,1.59516559,1.82995083,1.170319275
