r (A),UCa(r),LJG fit
3.1,244.448625,263.3758468
3.3,108.5455904,98.82226017
3.5,37.09567449,32.17331399
3.7,4.082696617,5.905963258
3.9,-2.745394931,-3.197907292
4.1,-4.703681726,-4.85130702
4.3,-2.920722308,-3.304820469
4.5,-0.084639681,-0.630848143
4.7,1.0561203,1.892834502
4.9,2.77402159,3.272281656
5.1,3.127284061,2.782918207
5.3,-0.00935967,0.231634929
5.5,-4.128017672,-3.778115351
5.7,-7.489495088,-7.888274122
5.9,-10.0010151,-10.48478038
6.1,-10.94186646,-10.4604305
6.3,-8.129740554,-7.781384741
6.5,-3.690602716,-3.473743033
6.7,2.373278476,0.953238758
6.9,4.291540846,4.246082895
7.1,5.940431,5.859037803
7.3,4.767580607,5.948720189
7.5,4.770566429,5.062168254
7.7,4.586599535,3.787809975
7.9,2.857765426,2.546760017
8.1,1.503344893,1.547907857
8.3,0.928274411,0.839678745
8.5,0.104452532,0.384671916
8.7,-0.844859606,0.116926516
8.9,-1.212063749,-0.026791206
9.1,-1.245576973,-0.095213041
9.3,-0.788577669,-0.121393329
9.5,-0.8878078,-0.125758133
9.7,-1.017694907,-0.119973027
9.9,-1.874216018,-0.110218815
