# r (A),g(r)
9.999999999999998473e-03,0.000000000000000000e+00
3.000000000000000930e-02,0.000000000000000000e+00
4.999999999999999584e-02,0.000000000000000000e+00
7.000000000000002054e-02,0.000000000000000000e+00
8.999999999999998279e-02,0.000000000000000000e+00
1.100000000000000283e-01,0.000000000000000000e+00
1.299999999999999767e-01,0.000000000000000000e+00
1.499999999999999667e-01,0.000000000000000000e+00
1.699999999999999567e-01,0.000000000000000000e+00
1.899999999999999745e-01,0.000000000000000000e+00
2.099999999999999922e-01,0.000000000000000000e+00
2.300000000000000100e-01,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00
2.700000000000000178e-01,0.000000000000000000e+00
2.899999999999999800e-01,0.000000000000000000e+00
3.099999999999999978e-01,0.000000000000000000e+00
3.300000000000000155e-01,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00
3.700000000000000511e-01,0.000000000000000000e+00
3.900000000000000688e-01,0.000000000000000000e+00
4.100000000000000866e-01,0.000000000000000000e+00
4.299999999999999933e-01,0.000000000000000000e+00
4.500000000000001221e-01,0.000000000000000000e+00
4.699999999999998068e-01,0.000000000000000000e+00
4.900000000000001577e-01,0.000000000000000000e+00
5.099999999999998979e-01,0.000000000000000000e+00
5.300000000000001377e-01,0.000000000000000000e+00
5.499999999999999334e-01,0.000000000000000000e+00
5.700000000000000622e-01,0.000000000000000000e+00
5.899999999999999689e-01,0.000000000000000000e+00
6.100000000000000977e-01,0.000000000000000000e+00
6.300000000000000044e-01,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00
6.700000000000000400e-01,0.000000000000000000e+00
6.899999999999998357e-01,0.000000000000000000e+00
7.099999999999999645e-01,0.000000000000000000e+00
7.300000000000000933e-01,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00
7.699999999999999067e-01,0.000000000000000000e+00
7.900000000000000355e-01,0.000000000000000000e+00
8.100000000000003864e-01,0.000000000000000000e+00
8.299999999999999600e-01,0.000000000000000000e+00
8.499999999999997558e-01,0.000000000000000000e+00
8.699999999999997735e-01,0.000000000000000000e+00
8.900000000000001243e-01,0.000000000000000000e+00
9.100000000000000311e-01,0.000000000000000000e+00
9.299999999999998268e-01,0.000000000000000000e+00
9.499999999999998446e-01,0.000000000000000000e+00
9.700000000000000844e-01,0.000000000000000000e+00
9.900000000000001021e-01,0.000000000000000000e+00
1.010000000000000009e+00,0.000000000000000000e+00
1.029999999999999805e+00,0.000000000000000000e+00
1.050000000000000266e+00,0.000000000000000000e+00
1.070000000000000062e+00,0.000000000000000000e+00
1.090000000000000080e+00,0.000000000000000000e+00
1.109999999999999876e+00,0.000000000000000000e+00
1.129999999999999671e+00,0.000000000000000000e+00
1.150000000000000133e+00,0.000000000000000000e+00
1.169999999999999929e+00,0.000000000000000000e+00
1.189999999999999725e+00,0.000000000000000000e+00
1.210000000000000187e+00,0.000000000000000000e+00
1.230000000000000204e+00,0.000000000000000000e+00
1.250000000000000000e+00,0.000000000000000000e+00
1.269999999999999796e+00,0.000000000000000000e+00
1.289999999999999813e+00,0.000000000000000000e+00
1.310000000000000275e+00,0.000000000000000000e+00
1.330000000000000071e+00,0.000000000000000000e+00
1.349999999999999867e+00,0.000000000000000000e+00
1.370000000000000329e+00,0.000000000000000000e+00
1.390000000000000346e+00,0.000000000000000000e+00
1.409999999999999920e+00,0.000000000000000000e+00
1.429999999999999938e+00,0.000000000000000000e+00
1.449999999999999512e+00,0.000000000000000000e+00
1.469999999999999973e+00,0.000000000000000000e+00
1.489999999999999991e+00,0.000000000000000000e+00
1.510000000000000009e+00,0.000000000000000000e+00
1.530000000000000027e+00,7.056333333333333728e-03
1.550000000000000488e+00,6.875333333333333123e-03
1.570000000000000062e+00,1.675333333333333188e-02
1.590000000000000080e+00,9.800750000000000434e-03
1.609999999999999654e+00,3.186249999999999499e-02
1.629999999999999227e+00,4.973641666666667183e-02
1.649999999999999689e+00,8.190825000000000189e-02
1.669999999999999929e+00,1.273404999999999954e-01
1.690000000000000169e+00,8.096858333333332991e-02
1.710000000000000631e+00,9.603250000000002062e-02
1.730000000000000204e+00,1.076226666666666582e-01
1.750000000000000000e+00,1.564167499999999933e-01
1.769999999999999796e+00,1.318120000000000125e-01
1.789999999999999369e+00,1.546598333333333297e-01
1.809999999999999831e+00,1.109243333333333331e-01
1.829999999999999405e+00,1.307086666666666674e-01
1.850000000000000311e+00,1.544428333333333347e-01
1.870000000000000773e+00,1.842230000000000256e-01
1.890000000000000346e+00,1.710962499999999775e-01
1.909999999999999920e+00,1.743236666666666546e-01
1.929999999999999938e+00,1.951193333333333946e-01
1.949999999999999512e+00,1.737612500000000060e-01
1.969999999999999751e+00,1.979170000000000096e-01
1.989999999999999547e+00,1.835308333333333375e-01
2.009999999999999343e+00,1.860295000000000420e-01
2.030000000000000249e+00,1.743651666666666822e-01
2.050000000000000266e+00,2.142159166666667003e-01
2.069999999999999840e+00,2.312987499999999974e-01
2.089999999999999858e+00,1.985316666666666896e-01
2.109999999999999876e+00,1.799450000000000216e-01
2.129999999999999449e+00,2.184515000000000207e-01
2.149999999999999467e+00,2.054726666666666646e-01
2.170000000000000373e+00,2.052104166666667007e-01
2.190000000000000391e+00,2.410865833333332986e-01
2.210000000000000409e+00,2.807092500000000213e-01
2.229999999999999982e+00,2.458018333333333028e-01
2.250000000000000000e+00,2.740801666666667358e-01
2.270000000000000018e+00,3.125478333333333025e-01
2.289999999999999591e+00,3.464854166666666568e-01
2.309999999999999609e+00,3.931364166666666549e-01
2.329999999999999627e+00,3.955440833333332962e-01
2.350000000000000533e+00,4.965190833333333331e-01
2.370000000000000551e+00,4.969968333333332766e-01
2.390000000000000124e+00,4.800381666666666547e-01
2.410000000000000142e+00,5.204520000000000257e-01
2.430000000000000160e+00,5.329006666666666892e-01
2.449999999999999734e+00,5.930330833333333773e-01
2.469999999999999751e+00,6.498020833333334467e-01
2.490000000000000657e+00,6.580548333333332556e-01
2.509999999999999343e+00,6.292564999999999964e-01
2.530000000000000249e+00,7.187005833333333094e-01
2.550000000000000266e+00,7.811395833333333316e-01
2.569999999999999840e+00,8.540601666666666203e-01
2.589999999999999858e+00,8.433834166666667187e-01
2.609999999999999876e+00,9.008278333333333832e-01
2.629999999999999449e+00,9.158365833333333983e-01
2.649999999999999467e+00,9.996805833333333169e-01
2.670000000000000373e+00,1.020674916666666654e+00
2.690000000000000835e+00,1.068330250000000037e+00
2.710000000000000409e+00,1.096478749999999946e+00
2.729999999999999982e+00,1.084904833333333540e+00
2.750000000000000000e+00,1.115050749999999979e+00
2.770000000000000018e+00,1.090395916666666798e+00
2.789999999999999591e+00,1.225484583333333433e+00
2.809999999999999165e+00,1.186136749999999962e+00
2.829999999999999627e+00,1.136431000000000191e+00
2.850000000000000977e+00,1.235437833333333346e+00
2.870000000000000551e+00,1.224295583333333326e+00
2.890000000000000124e+00,1.301351583333333561e+00
2.910000000000000142e+00,1.300105666666666604e+00
2.930000000000000160e+00,1.318013416666666826e+00
2.949999999999999734e+00,1.307795166666666731e+00
2.969999999999999307e+00,1.273387333333333427e+00
2.990000000000000657e+00,1.265647416666666691e+00
3.009999999999999343e+00,1.349159499999999845e+00
3.030000000000000693e+00,1.292724750000000311e+00
3.050000000000000266e+00,1.316667250000000067e+00
3.069999999999999840e+00,1.352146666666666386e+00
3.089999999999999858e+00,1.253389583333333279e+00
3.109999999999999876e+00,1.329543333333333299e+00
3.129999999999999449e+00,1.309234583333333424e+00
3.149999999999999023e+00,1.306812583333333277e+00
3.170000000000000373e+00,1.327359999999999873e+00
3.189999999999999947e+00,1.321319333333333290e+00
3.210000000000000409e+00,1.308913416666666718e+00
3.229999999999999094e+00,1.261088333333333367e+00
3.250000000000000000e+00,1.250306750000000022e+00
3.270000000000000906e+00,1.319250083333333157e+00
3.289999999999999591e+00,1.304785583333333054e+00
3.310000000000000053e+00,1.271727166666666742e+00
3.329999999999998739e+00,1.277351750000000008e+00
3.350000000000000977e+00,1.328380499999999964e+00
3.369999999999999662e+00,1.267571500000000073e+00
3.390000000000000124e+00,1.204507583333333409e+00
3.410000000000000142e+00,1.232326083333333377e+00
3.430000000000000160e+00,1.215188833333333163e+00
3.450000000000000622e+00,1.243468250000000053e+00
3.469999999999999307e+00,1.217515249999999938e+00
3.490000000000001545e+00,1.253779083333333100e+00
3.509999999999998455e+00,1.250257916666666524e+00
3.530000000000000693e+00,1.258003333333333140e+00
3.549999999999999378e+00,1.264840166666666654e+00
3.569999999999999840e+00,1.224786416666666433e+00
3.590000000000001190e+00,1.340626499999999943e+00
3.609999999999999876e+00,1.297927999999999971e+00
3.630000000000000338e+00,1.309363666666666814e+00
3.649999999999999023e+00,1.283894833333333318e+00
3.670000000000001261e+00,1.280977333333333190e+00
3.689999999999999503e+00,1.214963916666666810e+00
3.710000000000000409e+00,1.247503499999999876e+00
3.729999999999999094e+00,1.259093833333333246e+00
3.750000000000000000e+00,1.255683666666666420e+00
3.770000000000000906e+00,1.180218333333333591e+00
3.789999999999999591e+00,1.212068999999999841e+00
3.810000000000000497e+00,1.177756666666666563e+00
3.829999999999998739e+00,1.123823666666666776e+00
3.850000000000000977e+00,1.172913166666666784e+00
3.869999999999999662e+00,1.111189999999999900e+00
3.890000000000000124e+00,1.123262916666666555e+00
3.909999999999998810e+00,1.063179916666666669e+00
3.930000000000000160e+00,1.085540583333333364e+00
