Step,CPU,Temperature (K),Pressure (GPa),Volume,v_nAtom,v_FU,c_PE,Energy (eV/FU),c_T,MSD (Å$^2$),c_MSD2[4]
0.0,0.0,0.0,-1.5340363,130742.65,12960.0,1620.0,-21772.221,-13.439643,0.0,1.2871209e-11,1.2871209e-11
100.0,5.6308439,183.11157,-0.42950967,130742.65,12960.0,1620.0,-21946.348,-13.547129,183.11157,0.08703987,0.087039869
200.0,10.861123,204.56683,-0.44763454,130742.65,12960.0,1620.0,-21946.349,-13.547129,204.56683,0.16558411,0.16558411
300.0,16.133309,218.9471,-0.42788091000000006,130742.65,12960.0,1620.0,-21935.945,-13.540707,218.9471,0.23772211,0.23772211
400.0,21.354466,238.03684,-0.43058776,130742.65,12960.0,1620.0,-21929.166,-13.536522,238.03684,0.30694267,0.30694266
500.0,26.579449,256.30188,-0.41028292000000005,130742.65,12960.0,1620.0,-21921.597,-13.53185,256.30188,0.37479742,0.37479741
600.0,31.821869,273.49551,-0.3151906,130742.65,12960.0,1620.0,-21914.421,-13.52742,273.49551,0.44156444,0.44156443
700.0,37.0895,292.28542,-0.33704160000000005,130742.65,12960.0,1620.0,-21911.99,-13.52592,292.28542,0.49968997,0.49968997
800.0,42.369586,304.19298,-0.31701091000000003,130742.65,12960.0,1620.0,-21908.6,-13.523827,304.19298,0.55024028,0.55024027
900.0,47.589696,307.58095,-0.38758124,130742.65,12960.0,1620.0,-21908.751,-13.523921,307.58095,0.60574215,0.60574214
1000.0,52.861638,300.57586,-0.40897747,130742.65,12960.0,1620.0,-21909.962,-13.524668,300.57586,0.65341315,0.65341313
1100.0,58.156927,297.62748,-0.32204869,130742.65,12960.0,1620.0,-21918.618,-13.530011,297.62748,0.68361828,0.68361827
1200.0,63.466936,303.48626,-0.40310458,130742.65,12960.0,1620.0,-21933.39,-13.53913,303.48626,0.7278058,0.7278058
1300.0,68.714998,305.22811,-0.46689474000000003,130742.65,12960.0,1620.0,-21941.75,-13.54429,305.22811,0.76097726,0.76097723
1400.0,73.954748,300.55062,-0.48336520000000005,130742.65,12960.0,1620.0,-21942.16,-13.544543,300.55062,0.78888712,0.7888871
1500.0,79.167249,303.4684,-0.4284347,130742.65,12960.0,1620.0,-21947.292,-13.547711,303.4684,0.81800696,0.81800695
1600.0,84.405101,306.95546,-0.41175447000000004,130742.65,12960.0,1620.0,-21951.351,-13.550217,306.95546,0.84132561,0.8413256
1700.0,89.666081,304.78868,-0.42837019000000004,130742.65,12960.0,1620.0,-21952.38,-13.550852,304.78868,0.86191257,0.86191257
1800.0,94.905237,308.38316,-0.41156749000000004,130742.65,12960.0,1620.0,-21961.594,-13.55654,308.38316,0.89329751,0.8932975
1900.0,100.15433,303.73749,-0.41035129,130742.65,12960.0,1620.0,-21964.393,-13.558267,303.73749,0.92496229,0.92496229
