Step,CPU,Temperature (K),Pressure (GPa),Volume,v_nAtom,v_FU,c_PE,Energy (eV/FU),c_T,MSD (Å$^2$),c_MSD2[4]
0.0,0.0,0.0,-1.7829348999999999,131362.06,12960.0,1620.0,-22364.269,-13.805104,0.0,7.5801872e-30,7.8730266e-30
100.0,5.4586032,149.86645,-4.5049451000000005,131362.06,12960.0,1620.0,-22508.338,-13.894036,149.86645,0.0713074,0.071307428
200.0,10.475248,227.96231,-2.2370763,131362.06,12960.0,1620.0,-22569.727,-13.93193,227.96231,0.080295463,0.080295372
300.0,15.492092,211.52326,-2.5058241000000003,131362.06,12960.0,1620.0,-22529.543,-13.907125,211.52326,0.10581884,0.10581924
400.0,20.50934,267.49014,-1.4727449000000001,131362.06,12960.0,1620.0,-22564.323,-13.928595,267.49014,0.088970981,0.088970934
500.0,25.530621,186.82355,-1.0910587,131362.06,12960.0,1620.0,-22458.835,-13.863478,186.82355,0.097814741,0.097816206
600.0,30.556225,320.16056,-2.1772551,131362.06,12960.0,1620.0,-22575.38,-13.93542,320.16056,0.086426057,0.086426031
700.0,35.593701,235.73756,-2.7712819,131362.06,12960.0,1620.0,-22463.701,-13.866482,235.73756,0.087629908,0.087629557
800.0,40.611622,219.31269,-2.4547481,131362.06,12960.0,1620.0,-22432.677,-13.847332,219.31269,0.12709255,0.12709317
900.0,45.634429,261.74732,-3.0879739,131362.06,12960.0,1620.0,-22467.6,-13.868889,261.74732,0.11145295,0.11145333
1000.0,50.6569,259.93482,-3.5360834000000003,131362.06,12960.0,1620.0,-22448.282,-13.856964,259.93482,0.094404312,0.094403498
1100.0,55.687357,207.64106,-2.2075942,131362.06,12960.0,1620.0,-22384.717,-13.817727,207.64106,0.14189093,0.14188985
1200.0,60.713477,330.32261,-2.364827,131362.06,12960.0,1620.0,-22515.954,-13.898737,330.32261,0.11652966,0.11652778
1300.0,65.731655,243.62908,-3.0087274,131362.06,12960.0,1620.0,-22441.425,-13.852731,243.62908,0.081441483,0.081450318
1400.0,70.751182,170.78325,-2.6493074,131362.06,12960.0,1620.0,-22366.842,-13.806692,170.78325,0.088978171,0.088981534
1500.0,75.78876,341.95334,-2.4931282,131362.06,12960.0,1620.0,-22523.047,-13.903115,341.95334,0.10097827,0.10097982
1600.0,80.817671,256.64621,-1.4155801000000001,131362.06,12960.0,1620.0,-22422.483,-13.841039,256.64621,0.1498417,0.14983274
1700.0,85.839572,276.37803,-2.1480233,131362.06,12960.0,1620.0,-22430.57,-13.846031,276.37803,0.15063662,0.15063819
1800.0,90.862488,238.35995,-0.98069427,131362.06,12960.0,1620.0,-22404.964,-13.830224,238.35995,0.14915996,0.14917195
1900.0,95.888024,354.42838,-3.3870099000000002,131362.06,12960.0,1620.0,-22540.919,-13.914147,354.42838,0.12552437,0.12552089
2000.0,100.91403,243.04352,-3.3737075,131362.06,12960.0,1620.0,-22452.218,-13.859394,243.04352,0.063760637,0.063763575
2100.0,105.93641,316.93605,-2.5264315,131362.06,12960.0,1620.0,-22531.474,-13.908317,316.93605,0.061266132,0.0612646
2200.0,110.97046,164.2673,-3.3217033000000002,131362.06,12960.0,1620.0,-22353.621,-13.798531,164.2673,0.088650436,0.088654346
2300.0,116.02506,269.44459,-2.6234474,131362.06,12960.0,1620.0,-22447.769,-13.856647,269.44459,0.099829822,0.099843439
2400.0,121.06823,261.57765,-3.6399817000000003,131362.06,12960.0,1620.0,-22459.561,-13.863927,261.57765,0.10224631,0.10223866
2500.0,126.07676,260.20377,-3.3384642,131362.06,12960.0,1620.0,-22490.012,-13.882723,260.20377,0.082584138,0.08257918
2600.0,131.08698,241.07624,-1.9786075,131362.06,12960.0,1620.0,-22482.23,-13.87792,241.07624,0.097411804,0.097409945
2700.0,136.09805,266.58595,-2.4609744,131362.06,12960.0,1620.0,-22510.425,-13.895324,266.58595,0.096109691,0.096114767
2800.0,141.11466,220.14621,-1.6004464,131362.06,12960.0,1620.0,-22457.859,-13.862876,220.14621,0.12311179,0.12312202
2900.0,146.1329,308.07265,-1.6732301,131362.06,12960.0,1620.0,-22541.794,-13.914688,308.07265,0.14442948,0.14443064
3000.0,151.2284,275.72511,-2.4227743999999998,131362.06,12960.0,1620.0,-22492.046,-13.883979,275.72511,0.12816655,0.12815843
3100.0,156.32798,254.23614,-1.9940574000000002,131362.06,12960.0,1620.0,-22448.715,-13.857232,254.23614,0.074590569,0.074589442
3200.0,161.41313,308.18157,-2.3230748,131362.06,12960.0,1620.0,-22492.08,-13.884,308.18157,0.11195134,0.1119594
3300.0,166.41148,258.0321,-2.0737703,131362.06,12960.0,1620.0,-22433.489,-13.847833,258.0321,0.16862116,0.1686331
3400.0,171.39904,274.1829,-1.8731146,131362.06,12960.0,1620.0,-22470.353,-13.870588,274.1829,0.20472772,0.20473022
3500.0,176.40298,229.60124,-2.3388221000000002,131362.06,12960.0,1620.0,-22439.502,-13.851545,229.60124,0.14251775,0.1425159
3600.0,181.40489,272.32433,-3.3274398,131362.06,12960.0,1620.0,-22490.886,-13.883263,272.32433,0.16605263,0.16605737
3700.0,186.39735,236.43925,-2.5803493,131362.06,12960.0,1620.0,-22465.729,-13.867734,236.43925,0.077115518,0.077118102
3800.0,191.46932,261.44074,-2.7498803,131362.06,12960.0,1620.0,-22470.595,-13.870737,261.44074,0.095841657,0.095834618
3900.0,196.58012,242.81578,-1.9614152999999999,131362.06,12960.0,1620.0,-22449.517,-13.857726,242.81578,0.14410336,0.14411374
4000.0,201.66181,273.56592,-2.0756914,131362.06,12960.0,1620.0,-22500.385,-13.889127,273.56592,0.15376363,0.1537592
4100.0,206.77041,227.804,-2.0170962,131362.06,12960.0,1620.0,-22447.84,-13.856691,227.804,0.14531148,0.14530683
4200.0,211.8416,216.20325,-1.3899672,131362.06,12960.0,1620.0,-22414.943,-13.836385,216.20325,0.14784626,0.14784132
4300.0,216.90137,294.38809,-3.1924899000000004,131362.06,12960.0,1620.0,-22478.952,-13.875897,294.38809,0.096289001,0.096297153
4400.0,221.9707,231.48327,-2.0508825,131362.06,12960.0,1620.0,-22430.886,-13.846226,231.48327,0.14901397,0.14902685
4500.0,227.06486,237.06325,-3.3493991000000003,131362.06,12960.0,1620.0,-22442.252,-13.853242,237.06325,0.13530947,0.1353052
4600.0,232.17022,254.20796,-1.0773192,131362.06,12960.0,1620.0,-22470.06,-13.870407,254.20796,0.15621672,0.1562119
4700.0,237.25147,240.32071,-2.654386,131362.06,12960.0,1620.0,-22457.88,-13.862889,240.32071,0.18251521,0.18250516
4800.0,242.34698,273.21385,-2.2361666000000002,131362.06,12960.0,1620.0,-22476.047,-13.874103,273.21385,0.14371782,0.14372158
4900.0,247.40183,302.85618,-2.6201564,131362.06,12960.0,1620.0,-22487.182,-13.880976,302.85618,0.092541344,0.0925431
5000.0,252.49652,269.92396,-3.4723552000000004,131362.06,12960.0,1620.0,-22459.293,-13.863761,269.92396,0.11503218,0.1150307
5100.0,258.42996,257.63739,-2.5867775,131362.06,12960.0,1620.0,-22432.902,-13.84747,257.63739,0.12174094,0.12173374
5200.0,263.56039,253.66738,-3.1900712,131362.06,12960.0,1620.0,-22434.823,-13.848656,253.66738,0.15726132,0.1572733
5300.0,268.58538,267.99943,-2.4890366999999998,131362.06,12960.0,1620.0,-22452.363,-13.859483,267.99943,0.095681283,0.095683894
