Proposed,TotalAccepted,GoodMove,BoltzmannMove,Rejected,F(Q),Enthalpy,χ²
0,0,0,0,0,358.478697,5.281322,2703619.057000
100000,55749,47887,7862,44251,313.397392,0.743548,421719.997900
200000,112170,94302,17868,87830,264.983306,-0.460076,-189239.610400
300000,168976,139484,29492,131024,203.576913,-1.137659,-538516.613300
400000,225743,183154,42589,174257,169.550748,-1.606495,-778868.723500
500000,283241,226255,56986,216759,145.257486,-1.976247,-968029.385700
600000,341116,268486,72630,258884,127.713434,-2.266796,-1116424.165000
700000,399427,310092,89335,300573,109.935018,-2.497462,-1234838.075000
800000,458276,350892,107384,341724,100.684440,-2.682993,-1329293.485000
900000,517452,390916,126536,382548,94.887592,-2.838336,-1408074.884000
1000000,577568,430769,146799,422432,85.652145,-2.962244,-1471634.817000
1100000,637017,469035,167982,462983,80.356652,-3.058603,-1520774.277000
1200000,697628,507478,190150,502372,75.072755,-3.137221,-1561009.826000
1300000,758693,545019,213674,541307,69.068685,-3.200095,-1593464.274000
1400000,820093,582542,237551,579907,64.370915,-3.253558,-1620999.905000
1500000,881911,619380,262531,618089,59.812810,-3.297291,-1643636.084000
1600000,944481,655901,288580,655519,55.389213,-3.334013,-1662736.626000
1700000,1007082,692189,314893,692918,52.624859,-3.365634,-1679020.717000
1800000,1070069,728243,341826,729931,50.101571,-3.392559,-1692912.906000
1900000,1133550,764069,369481,766450,47.161518,-3.415728,-1704987.108000
2000000,1196834,799482,397352,803166,44.963282,-3.436047,-1715517.131000
2100000,1260956,835070,425886,839044,42.972184,-3.453890,-1724773.302000
2200000,1324839,870323,454516,875161,41.833720,-3.470145,-1733099.796000
2300000,1389196,905676,483520,910804,40.102472,-3.484717,-1740675.663000
2400000,1453714,940926,512788,946286,39.269226,-3.497616,-1747272.174000
2500000,1518618,976047,542571,981382,37.917954,-3.509133,-1753259.027000
2600000,1583500,1011159,572341,1016500,36.349619,-3.519472,-1758685.104000
2700000,1648458,1046343,602115,1051542,35.227149,-3.529480,-1763877.518000
2800000,1713820,1081165,632655,1086180,34.702027,-3.538857,-1768660.412000
2900000,1779508,1116019,663489,1120492,33.962463,-3.546880,-1772800.048000
3000000,1845367,1150991,694376,1154633,33.029813,-3.554595,-1776811.686000
3100000,1911335,1186032,725303,1188665,32.506690,-3.562510,-1780860.457000
3200000,1977161,1220822,756339,1222839,31.864054,-3.568900,-1784166.123000
3300000,2043126,1255678,787448,1256874,31.774660,-3.575430,-1787452.557000
3400000,2109004,1290291,818713,1290996,30.728897,-3.581001,-1790408.538000
3500000,2175352,1325232,850120,1324648,30.987367,-3.587320,-1793536.006000
3600000,2241902,1360127,881775,1358098,30.550469,-3.592738,-1796320.508000
3700000,2308290,1394802,913488,1391710,29.803017,-3.597591,-1798873.456000
3800000,2374666,1429445,945221,1425334,29.764414,-3.602413,-1801292.878000
3900000,2441307,1464185,977122,1458693,29.467885,-3.606800,-1803539.011000
4000000,2508095,1499185,1008910,1491905,29.334148,-3.611198,-1805765.531000
4100000,2575004,1533835,1041169,1524996,28.636498,-3.615036,-1807797.903000
4200000,2641798,1568307,1073491,1558202,28.574880,-3.618751,-1809670.209000
4300000,2708821,1602936,1105885,1591179,28.493352,-3.622231,-1811430.227000
4400000,2776024,1637847,1138177,1623976,27.611826,-3.625152,-1813029.550000
4500000,2843280,1672556,1170724,1656720,27.994881,-3.628696,-1814746.072000
4600000,2910341,1707524,1202817,1689659,27.423085,-3.632030,-1816506.834000
4700000,2977296,1742242,1235054,1722704,27.475411,-3.635066,-1818020.959000
4800000,3044592,1776912,1267680,1755408,26.883774,-3.637868,-1819517.663000
4900000,3111994,1811672,1300322,1788006,27.555804,-3.640486,-1820723.939000
5000000,3179457,1846408,1333049,1820543,27.196997,-3.643051,-1822064.681000
5100000,3246716,1880994,1365722,1853284,27.027499,-3.645320,-1823231.450000
5200000,3314132,1915971,1398161,1885868,27.275952,-3.648003,-1824537.393000
5300000,3381661,1950647,1431014,1918339,26.841588,-3.650290,-1825752.725000
5400000,3449242,1985166,1464076,1950758,26.351729,-3.652164,-1826768.638000
5500000,3516924,2019958,1496966,1983076,26.533545,-3.654373,-1827846.766000
5600000,3584464,2054757,1529707,2015536,26.004262,-3.656604,-1829047.890000
5700000,3652112,2089308,1562804,2047888,25.906582,-3.658309,-1829919.568000
5800000,3719922,2124136,1595786,2080078,26.060952,-3.660482,-1830983.312000
5900000,3787829,2158920,1628909,2112171,26.096995,-3.662449,-1831963.836000
6000000,3855926,2193625,1662301,2144074,25.743973,-3.664293,-1832945.110000
6100000,3923923,2228274,1695649,2176077,26.152059,-3.666299,-1834019.129000
6200000,3991302,2262812,1728490,2208698,25.414239,-3.667765,-1834735.112000
6300000,4059458,2297871,1761587,2240542,25.057255,-3.669590,-1835706.212000
6400000,4127282,2332425,1794857,2272718,25.156383,-3.671377,-1836586.266000
