LAMMPS data file for RMC ACC Config.

12960 atoms
8100 bonds
6480 angles
0 dihedrals
0 impropers
5 atom types
2 bond types
2 angle types
0 improper types

0.0 52.7680000000   xlo xhi
0.0 54.8381000000   ylo yhi
0.0 45.2676000000   zlo zhi
0.0000000000    0.0000000000    0.0000000000    xy xz yz

Masses

1	40.078 # Ca
2	12.011 # C
3	15.9994 # O
4	15.9994 # Ow
5	1.008 # H

Atoms

1 1 1 2.000000 38.09110847999999549529 11.18094020900000096219 18.96893510400000337768
2 2 1 2.000000 49.18135904000000380165 18.15360462399999974537 20.04222989999999882116
3 3 1 2.000000 48.18457151999999865666 17.47032189799999812863 25.77582411599999900886
4 4 1 2.000000 47.53446976000000034901 14.67906260799999884625 22.80400617600000146012
5 5 1 2.000000 3.40881279999999886599 36.29240296100000051638 15.80201380799999988369
6 6 1 2.000000 35.72129759999999976117 16.94497290000000333521 36.05654875200000475388
7 7 1 2.000000 4.32644832000000167938 11.20616573500000079378 40.58919353999999657390
8 8 1 2.000000 26.19931199999999549277 48.25368933299999696374 19.39173448800000087999
9 9 1 2.000000 27.83511999999999630973 51.28184921500000115202 22.38980763600000045699
10 10 1 2.000000 22.50871807999999774097 52.43948150599999991073 24.29964768000000319148
11 11 1 2.000000 17.73268639999999862766 50.27008626999999307827 8.20973193600000072934
12 12 1 2.000000 7.29675903999999952987 14.43503306300000055273 8.26360037999999974545
13 13 1 2.000000 17.13746336000000525246 28.49716704600000127812 35.10683450399999827596
14 14 1 2.000000 50.27312896000000108643 40.53029132900000064410 5.35244102399999999164
15 15 1 2.000000 51.27466559999999873298 43.69938512800000296465 2.85185880000000002710
16 16 1 2.000000 48.04368096000000321055 42.58562331699999958801 2.63457432000000002503
17 17 1 2.000000 45.71291839999999950805 44.04870382499999692527 4.56116337600000054664
18 18 1 2.000000 27.25150591999999960535 25.19097799699999740142 21.99054740400000085288
19 19 1 2.000000 2.42363423999999927361 28.91229146299999896996 17.93275974000000161368
20 20 1 2.000000 50.28104416000000043141 46.93976845699999955741 5.83997307600000059580
21 21 1 2.000000 47.48908928000000173597 37.56738878599999509333 0.36395150400000003676
22 22 1 2.000000 4.03147520000000181284 20.89002581400000124745 45.14492480399999863039
23 23 1 2.000000 25.42098400000000424370 8.04255574600000144869 35.14757534400000338337
24 24 1 2.000000 12.31182976000000017791 42.26646557499999801166 38.14700652000000502539
25 25 1 2.000000 12.73397376000000136287 37.12978074800000172218 36.53321658000000127231
26 26 1 2.000000 15.77921504000000041401 36.48543307299999582938 38.89165854000000166479
27 27 1 2.000000 51.44141247999999677631 4.70565736100000187037 42.63347835600000479417
28 28 1 2.000000 2.69169567999999825858 38.89282566299999643888 6.92594280000000050990
29 29 1 2.000000 46.53557151999999774716 5.27707036299999909801 5.27729680800000000573
30 30 1 2.000000 45.61054847999999850572 7.50733588999999934543 3.25111903200000007530
31 31 1 2.000000 7.04822175999999966933 1.87601140099999996735 2.60107629600000000991
32 32 1 2.000000 5.18128992000000021534 5.26719950499999978177 2.86815513599999993843
33 33 1 2.000000 1.85373983999999980554 4.98588005199999972916 0.13625547600000001425
34 34 1 2.000000 3.51804255999999959670 2.46826288099999979764 0.43909572000000002268
35 35 1 2.000000 33.04226623999999645775 4.93926766700000197119 37.97182090799999798492
36 36 1 2.000000 7.37010655999999730881 54.02649611999999734735 34.45271768400000667043
37 37 1 2.000000 9.96101535999999754267 54.72677865699999699700 37.14297115200000121149
38 38 1 2.000000 0.66909823999999773481 54.41200796299999353778 15.51094314000000018439
39 39 1 2.000000 49.28267359999999541742 28.68526172900000048571 17.02876576799999952527
40 40 1 2.000000 48.85314208000000490983 31.48748863899999861360 19.54383362400000123671
41 41 1 2.000000 33.99525632000000285871 50.70001697400000040261 13.79846983200000032355
42 42 1 2.000000 35.91917759999999759657 46.14680953099999527467 11.23270226400000026956
43 43 1 2.000000 22.30978272000000117714 10.47243195700000129023 22.34137130399999904284
44 44 1 2.000000 18.69148095999999981132 11.70245054000000095584 21.98602064399999989064
45 45 1 2.000000 19.04872031999999748564 13.47481793200000055322 24.92524591200000116942
46 46 1 2.000000 50.75542848000000617503 7.66252771300000024013 17.58012513599999948610
47 47 1 2.000000 32.04706175999999828719 30.77404495799999750716 10.47809137200000151324
48 48 1 2.000000 26.98924895999999407081 36.83200986499999629586 7.50401005199999993067
49 49 1 2.000000 24.07645535999999708565 35.87234311499999961370 15.77440057200000111948
50 50 1 2.000000 24.58091743999999678749 33.39749966200000130812 7.24870078799999983943
51 51 1 2.000000 26.43887871999999816808 34.92693427100000036489 10.92442990800000046647
52 52 1 2.000000 25.61569791999999523568 30.17630966799999825412 11.08331918400000049019
53 53 1 2.000000 24.95451487999999784506 33.03885848800000246683 13.50649381200000220815
54 54 1 2.000000 27.46257791999999753330 30.73785181199999883006 5.64486972000000086780
55 55 1 2.000000 25.43786976000000166209 27.92081861499999817511 5.63310014400000014234
56 56 1 2.000000 12.07120768000000055054 31.95416086999999905061 23.92890603600000076767
57 57 1 2.000000 10.17525344000000053768 33.69472216399999808800 38.78527968000000214488
58 58 1 2.000000 16.69843360000000132004 18.23037796399999876940 10.37533391999999921040
59 59 1 2.000000 33.51612287999999750809 29.00387109000000052106 1.17469422000000012218
60 60 1 2.000000 11.54088927999999825147 50.00083119899999672953 35.88543722400000035577
61 61 1 2.000000 3.82515231999999860690 44.63437473300000135623 22.09149415200000277082
62 62 1 2.000000 50.33170143999999623929 11.83515874200000084215 13.17241892400000224939
63 63 1 2.000000 43.21013216000000056738 39.81246059999999431511 16.83366241199999890910
64 64 1 2.000000 23.62528895999999534183 50.41540723499999643309 11.35401943199999941214
65 65 1 2.000000 37.13178623999999672378 28.06833310399999703577 18.53346079199999962839
66 66 1 2.000000 32.77314943999999741209 22.23026897800000512007 37.00037821200000109911
67 67 1 2.000000 3.96182144000000002748 29.58844523600000542274 33.79181072400000118705
68 68 1 2.000000 6.21395968000000031850 32.63744359599999711463 35.99996425200000516043
69 69 1 2.000000 8.80064704000000119777 31.91303229500000071539 33.92353943999999899006
70 70 1 2.000000 9.05815488000000001989 29.29177111500000307842 36.70659148800000082247
71 71 1 2.000000 38.34703327999999800113 25.95925977800000339357 32.27127203999999949247
72 72 1 2.000000 30.99961696000000799245 22.11291544400000219639 33.58584314400000181422
73 73 1 2.000000 12.86958751999999961413 33.48743414599999823622 29.65027800000000368641
74 74 1 2.000000 11.63534399999999990882 9.26709051899999991520 2.83782584399999970870
75 75 1 2.000000 0.93188287999999974698 8.23284395299999971485 4.61412646800000025848
76 76 1 2.000000 4.72748511999999898592 8.96822287399999851232 5.30762610000000023547
77 77 1 2.000000 13.73023360000000003822 5.14820082800000022871 2.68482135600000004771
78 78 1 2.000000 11.55619200000000112993 0.69918577500000089753 16.09942194000000270648
79 79 1 2.000000 45.17310176000000154772 39.20211254699999869899 20.94893992800000148691
80 80 1 2.000000 45.33509951999999998407 41.97746878800000303045 19.19029366799999891668
